"";"Kingdom";"Phylum";"Class";"Family";"Genus";"Species";"Average.annual.cost";"Cumulated.cost";"Number.estimates";"Number.year.values"
"862";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Clavibacter michiganensis/Peronosclerospora spp./Ditylenchus dipsaci/Fusarium oxysporum/Aphelenchoides ritzemabosi";0,0322399428257735;1,54751725563713;1;1
"1070";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Senna";"Diverse/Unspecified";0,0297974155928879;1,43027594845862;1;20
"1123";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rosa";"Rosa rugosa";0,027466344722647;1,31838454668705;1;1
"1023";"Fungi";"Ascomycota";"Dothideomycetes";"Mycosphaerellaceae";"Dothistroma";"Dothistroma septosporum";0,0273568994384225;1,31313117304428;1;1
"76";"Animalia";"Chordata";"Mammalia";"Gliridae";"Glis";"Glis glis";0,026596985565133;1,27665530712638;4;4
"1067";"Plantae";"Tracheophyta";"Magnoliopsida";"Papaveraceae";"Argemone";"Argemone mexicana";0,0264705196771771;1,2705849445045;1;20
"16";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae/Leporidae";"Felis/Oryctolagus/Vulpes";"Felis catus/Oryctolagus cuniculus/Vulpes vulpes";0,0262665271700907;1,26079330416435;6;6
"232";"Animalia";"Arthropoda";"Insecta";"Rutelidae";"Popillia";"Popillia japonica";0,0252258336843488;1,21084001684874;2;2
"1038";"Animalia";"Chordata";"Actinopterygii";"Cyprinidae";"Phoxinus";"Phoxinus phoxinus";0,0252103426603524;1,21009644769692;2;3
"79";"Animalia";"Chordata";"Mammalia";"Mustelidae/Phalangeridae/Unspecified";"Trichosurus/Unspecified";"Trichosurus vulpecula/Unspecified";0,0250318897067794;1,20153070592541;1;2
"410";"Animalia";"Chordata";"Reptilia";"Colubridae";"Lampropeltis";"Lampropeltis californiae";0,0245233046969829;1,17711862545518;1;5
"69";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae/Mustelidae";"Canis/Felis/Mustela/Mustela";"Canis lupus/Felis catus/Mustela erminea/Mustela furo";0,0242843490160088;1,16564875276842;1;1
"1028";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Leptospermum";"Diverse/Unspecified";0,0237377771952689;1,13941330537291;2;24
"835";"Plantae";"Tracheophyta";"Liliopsida";"Araceae";"Pistia";"Pistia stratiotes";0,0229648034755775;1,10231056682772;2;2
"810";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiaceae";"Heracleum";"Heracleum sosnowskyi";0,0226319277006569;1,08633252963153;19;22
"245";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Anoplolepis";"Anoplolepis gracilipes";0,0209833283672503;1,00719976162801;4;4
"837";"Plantae";"Tracheophyta";"Dicotyledonae";"Onagraceae";"Ludwigia";"Ludwigia grandiflora";0,0204254673497174;0,980422432786434;5;10
"683";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus anglicus";0,0201795224384657;0,968617077046356;3;6
"108";"Animalia";"Chordata";"Aves";"Sturnidae";"Acridotheres";"Acridotheres tristis";0,01961875;0,9417;1;6
"836";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Spartina";"Spartina spp.";0,0195576796855935;0,938768624908486;8;14
"1051";"Animalia";"Arthropoda";"Malacostraca";"Lithodidae";"Paralithodes";"Paralithodes camtschaticus";0,019076403117113;0,915667349621422;1;1
"385";"Plantae";"Tracheophyta";"Polypodiopsida";"Salviniaceae";"Salvinia";"Salvinia spp.";0,0183196813342182;0,879344704042472;5;5
"689";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus spp.";0,0179824344114534;0,863156851749765;6;10
"379";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Hymenachne";"Hymenachne spp.";0,0178242918797838;0,855566010229624;4;4
"359";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Larix";"Larix spp.";0,0176751934910105;0,848409287568506;1;1
"119";"Animalia";"Chordata";"Aves";"Anatidae";"Cygnus";"Cygnus olor";0,0175852393145425;0,844091487098039;3;13
"57";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae/Herpestidae";"Canis/Felis/Herpestes";"Canis lupus/Felis catus/Herpestes javanicus";0,0173684324783327;0,833684758959968;5;16
"1063";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Datura";"Diverse/Unspecified";0,0170684225240814;0,819284281155908;1;20
"15";"Animalia";"Chordata";"Mammalia";"Bovidae/Suidae";"Capra/Sus";"Capra hircus/Sus scrofa";0,0167234908333358;0,802727560000116;4;4
"417";"Plantae";"Tracheophyta";"Magnoliopsida";"Aizoaceae";"Carpobrotus";"Carpobrotus edulis";0,0159184092066628;0,764083641919815;78;78
"48";"Animalia";"Chordata";"Mammalia";"Equidae";"Equus";"Equus asinus";0,0157478618788691;0,755897370185716;4;4
"1014";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Diverse/Unspecified";"Diverse/Unspecified";0,0154198104530416;0,740150901745998;1;5
"677";"Animalia";"Chordata";"Mammalia";"Sciuridae";"Tamias";"Tamias sibiricus";0,0153538148339592;0,736983112030042;5;5
"696";"Animalia";"Chordata";"Mammalia";"Diverse/Unspecified";"Diverse/Unspecified";"Rattus spp./Mus musculus/Felis catus";0,0152689616307551;0,732910158276244;5;5
"1062";"Plantae";"Tracheophyta";"Magnoliopsida";"Sapindaceae";"Cardiospermum";"Diverse/Unspecified";0,0147540601479348;0,708194887100869;1;20
"1013";"Chromista";"Oomycota";"Peronosporea";"Peronosporaceae";"Phytophthora";"Phytophthora ramorum/Phytophthora kernoviae";0,0145978369467668;0,700696173444806;1;4
"333";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Rubus spp.";0,0143975876696785;0,691084208144568;1;1
"447";"Plantae";"Tracheophyta";"Magnoliopsida";"Simaroubaceae";"Ailanthus";"Ailanthus altissima";0,013905079786115;0,667443829733522;164;185
"391";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae/Apocynaceae/Rhamnaceae";"Parkinsonia/Cryptostegia/Calotropis/Ziziphus";"Parkinsonia aculeata/Cryptostegia grandiflora/Calotropis procera/Ziziphus mauritiana";0,0137915508492886;0,66199444076585;1;1
"662";"Plantae";"Tracheophyta";"Diverse/Unspecified";"Diverse/Unspecified";"Ludwigia/Elodea";"Ludwigia sp./Elodea sp.";0,0134487427368322;0,645539651367946;6;6
"826";"Animalia";"Chordata";"Aves";"Pycnonotidae";"Pycnonotus";"Pycnonotus sinensis";0,0133172547033182;0,639228225759273;5;9
"822";"Animalia";"Chordata";"Aves";"Anatidae";"Alopochen/Branta";"Alopochen aegyptiaca";0,0132800902288284;0,637444330983763;1;8
"8";"Animalia";"Chordata";"Mammalia";"Equidae";"Equus";"Equus caballus";0,0132441202789728;0,635717773390695;4;4
"368";"Plantae";"Tracheophyta";"Magnoliopsida";"Passifloraceae";"Passiflora";"Passiflora tarminiana";0,0129382416354197;0,621035598500146;1;3
"933";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Sesbania";"Sesbania punicea";0,0128276404410849;0,615726741172077;2;21
"86";"Animalia";"Chordata";"Mammalia";"Cervidae";"Muntiacus";"Muntiacus reevesi";0,0127779856861914;0,613343312937189;14;26
"701";"Animalia";"Chordata";"Mammalia";"Diverse/Unspecified";"Diverse/Unspecified";"Rusa timorensis russa/Sus scrofa/Oryctolagus cuniculus";0,0125285550224277;0,601370641076531;4;4
"125";"Animalia";"Chordata";"Aves";"Pycnonotidae";"Pycnonotus";"Pycnonotus cafer/Pycnonotus jocosus";0,0123581397889218;0,593190709868246;1;1
"34";"Animalia";"Chordata";"Mammalia";"Bovidae";"Bos";"Ovis aries";0,0122612558742494;0,588540281963969;1;1
"711";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae/Tephritidae";"Brontispa/Bactrocera";"Brontispa longissima/Bactrocera tryoni";0,0120860856749119;0,580132112395772;2;2
"1016";"Plantae";"Tracheophyta";"Magnoliopsida";"Chenopodiaceae";"Bassia";"Bassia scoparia";0,0119653323466725;0,574335952640279;1;8
"695";"Animalia";"Chordata";"Mammalia";"Bovidae";"Diverse/Unspecified";"Ovis ammon/Ovis aries/Bos taurus";0,0119549280556862;0,573836546672936;5;5
"194";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Dendroctonus";"Dendroctonus micans";0,0117851785834728;0,565688572006694;3;3
"280";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia grandiflora";0,0117637592597642;0,56466044446868;8;12
"1060";"Plantae";"Tracheophyta";"Liliopsida";"Agavaceae";"Agave";"Agave sisalana";0,0117453890589442;0,56377867482932;1;20
"841";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Linepithema";"Linepithema humile";0,0117241232194481;0,56275791453351;21;35
"1059";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Nicotiana";"Diverse/Unspecified";0,0117164595292423;0,562390057403631;1;20
"626";"Plantae";"Tracheophyta";"Magnoliopsida";"Verbenaceae";"Citharexylum";"Citharexylum gentryi";0,0116821998518336;0,560745592888015;10;28
"723";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia grandiflora/Myriophyllum aquaticum/Egeria densa";0,0116200789502248;0,557763789610792;1;5
"889";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Zea";"Zea mays";0,0113956608925716;0,546991722843437;1;2
"151";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Rhagoletis";"Rhagoletis indifferens";0,0109605123678599;0,526104593657274;1;1
"692";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Rubus alceifolius";0,0107044604524683;0,513814101718477;4;4
"366";"Animalia";"Chordata";"Aves";"Pycnonotidae";"Pycnonotus";"Pycnonotus jocosus";0,0106051160946063;0,509045572541104;1;1
"954";"Viruses";NA;NA;"Poxviridae";NA;"Squirrelpox virus";0,0105463380381363;0,506224225830542;2;6
"1058";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Solanum";"Solanum seaforthianum";0,0102699830441507;0,492959186119233;1;20
"47";"Animalia";"Chordata";"Mammalia";"Camelidae";"Diverse/Unspecified";"Diverse/Unspecified";0,0100470335633541;0,482257611040995;3;3
"392";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae/Euphorbiaceae/Apocynaceae/Rhamnaceae/Asteraceae";"Acacia/Parkinsonia/Jatropha/Calotropis/Ziziphus/Xanthium";"Acacia nilotica/Parkinsonia aculeata/Jatropha gossypiifolia/Ziziphus mauritiana";0,00972847985219524;0,466967032905372;1;1
"389";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acaciella/Aeschynomene/Indigofera";"Acaciella angustissima/Aeschynomene paniculata/Aeschynomene brasiliana/Indigofera schimperi";0,00953772534528946;0,457810816573894;1;6
"390";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus pyramidalis";0,00953772534528946;0,457810816573894;1;1
"616";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Solenopsis";"Solenopsis geminata";0,00947916666666667;0,455;1;5
"916";"Chromista";"Ochrophyta";"Phaeophyceae";"Sargassaceae";"Sargassum";"Sargassum muticum";0,0093304536112948;0,447861773342151;6;14
"478";"Plantae";"Tracheophyta";"Magnoliopsida";"Oxalidaceae";"Oxalis";"Oxalis pes-caprae";0,00877132054627006;0,421023386220963;4;12
"1056";"Plantae";"Tracheophyta";"Magnoliopsida";"Bignoniaceae";"Tecoma";"Tecoma stans";0,00859207032144437;0,41241937542933;1;20
"747";"Bacteria";"Actinobacteria";"Actinobacteria";"Microbacteriaceae";NA;"Clavibacter michiganensis subsp. sepedonicum";0,00812472672812955;0,389986882950218;1;1
"1121";"Animalia";"Chordata";"Actinopterygii";"Percidae";"Gymnocephalus";"Gynocephalus cernua";0,00797540782127874;0,382819575421379;1;1
"70";"Animalia";"Chordata";"Mammalia";"Phascolarctidae";"Phascolarctos";"Phascolarctos cinereus";0,00797418939811934;0,382761091109729;4;4
"522";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Opuntia";"Opuntia sp.";0,00796762345300492;0,382445925744236;5;24
"55";"Animalia";"Chordata";"Mammalia";"Cervidae";"Dama";"Dama dama";0,00791092676984217;0,379724484952424;1;6
"899";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus pyramidalis/Sporobolus fertilis";0,007896646548038;0,379039034305824;4;31
"694";"Animalia";"Chordata";"Actinopterygii";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,00783652612225411;0,376153253868197;4;4
"331";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Hakea";"Hakea spp.";0,00782659562276127;0,375676589892541;1;1
"1055";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Tithonia";"Tithonia diversifolia";0,00781097301949488;0,374926704935754;1;20
"427";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Opuntia";"Opuntia ficus-indica";0,00780172158585541;0,37448263612106;71;71
"495";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Leucaena";"Leucaena leucocephala";0,00768606875910589;0,368931300437083;35;58
"236";"Animalia";"Arthropoda";"Insecta";"Pyralidae";"Sipha";"Sipha flava";0,00749922239898838;0,359962675151442;1;1
"595";"Animalia";"Arthropoda";"Insecta";"Pyralidae";"Cactoblastis";"Cactoblastis cactorum";0,00749047991550545;0,359543035944262;1;8
"78";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus norvegicus/Rattus rattus";0,0074138472504517;0,355864668021682;1;1
"42";"Animalia";"Chordata";"Mammalia";"Felidae/Muridae";"Felis/Rattus";"Felis catus";0,00729459190131742;0,350140411263236;2;2
"887";"Animalia";"Chordata";"Reptilia";"Dactyloidae";"Anolis";"Anolis sagrei";0,00719166324013158;0,345199835526316;1;10
"361";"Plantae";"Tracheophyta/Unspecified";"Magnoliopsida/Unspecified";"Myrtaceae/Unspecified";"Melaleuca/Unspecified";"Melaleuca quinquenervia/Unspecified";0,00707007739640422;0,339363715027402;1;1
"365";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Sipha";"Sipha flava";0,00707007739640422;0,339363715027402;1;1
"405";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Opuntia";"Opuntia stricta";0,0069222684447596;0,332268885348461;20;41
"908";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Psidium";"Psidium guajava";0,00669479066905119;0,321349952114457;7;32
"470";"Plantae";"Tracheophyta";"Diverse/Unspecified";"Diverse/Unspecified";"Arundo/Nicotiana";"Arundo donax/Nicotiana glauca";0,00663892399074422;0,318668351555723;1;4
"40";"Animalia";"Chordata";"Mammalia";"Felidae/Muridae";"Felis/Rattus";"Felis catus/Rattus sp.";0,00625524079171388;0,300251558002266;1;1
"1046";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Sesbania";"Diverse/Unspecified";0,00578590594036658;0,277723485137596;1;20
"424";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Cortaderia";"Cortaderia selloana";0,00569923454147421;0,273563257990762;93;103
"1003";"Viruses";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,00560888811237498;0,269226629393999;1;4
"571";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Egeria";"Egeria densa";0,00553057405459613;0,265467554620614;13;19
"998";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Prosopis";"Proposis pallida/Proposis gladulosa/ Proposis juliflora/ Proposis velutina";0,0054716929235265;0,262641260329272;1;3
"43";"Animalia";"Chordata";"Mammalia";"Hystricidae";"Hystrix";"Hystrix brachyura";0,00541321270200032;0,259834209696015;1;1
"63";"Animalia";"Chordata";"Mammalia";"Muridae/Phalangeridae";"Rattus/Trichosurus";"Trichosurus vulpecula";0,00516444501033433;0,247893360496048;2;2
"1049";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Pinus/Larix";"Pinus strobus/Larix decidua";0,0051124806430972;0,245399070868666;1;4
"697";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia mangium";0,00501751954659679;0,240840938236646;3;3
"914";"Animalia";"Chordata";"Mammalia";"Felidae";"Felis";"Felis domesticus";0,00496142221095486;0,238148266125833;3;6
"1008";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Anoplolepis";"Anoploepsis gracilipes";0,0049111163280516;0,235733583746477;1;1
"852";"Animalia";"Chordata";"Amphibia";"Bufonidae/Rhacophoridae";"Rhinella/Polypedates";"Rhinella marina/Polypedates leucomystax";0,00489838310208061;0,235122388899869;5;8
"687";"Plantae";"Tracheophyta";"Magnoliopsida";"Aizoaceae";"Carpobrotus";"Carpobrotus sp.";0,00482407661059199;0,231555677308415;4;4
"840";"Animalia";"Arthropoda";"Crustacea";"Adtacidae";"Pacifastacus";"Pacifastacus leniusculus";0,00479838159742379;0,230322316676342;8;14
"133";"Animalia";"Chordata";"Mammalia";"Mustelidae/Unspecified";"Mustela/Unspecified";"Mustela erminea/Unspecified";0,00476609713659171;0,228772662556402;4;4
"415";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Robinia";"Robinia pseudoacacia";0,00474848934825787;0,227927488716378;75;85
"369";"Animalia";"Arthropoda";"Insecta";"Tephritidae/others";"Ceratitis/others";"Ceratitis spp./others";0,00459555030766274;0,220586414767812;2;2
"598";"Animalia";"Arthropoda";"Arachnida";"Tenuipalpidae";"Raoiella";"Raoiella indica";0,00432291666666667;0,2075;1;5
"9";"Animalia";"Chordata";"Mammalia";"Camelidae";"Camelus";"Camelus dromedarius";0,00417544303194671;0,200421265533442;1;1
"964";"Animalia";"Arthropoda";"Malacostraca";"Astacidae";"Diverse/Unspecified";"Diverse/Unspecified";0,00383626235061498;0,184140592829519;2;2
"397";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Andropogon/Cenchrus/Hymenachne";"Andropogon gayanus/Cenchrus polystachios/Hymenachne amplexicaulis";0,00381509013811578;0,183124326629558;1;1
"1006";"Plantae";"Tracheophyta";"Liliopsida/Magnoliopsida";"Fabaceae/Simaroubaceae/Poaceae";"Robinia/Ailanthus/Arundo/Diverse/unspecified";"Robinia pseudoacacia/Ailanthus altissima/Arundo donax/others";0,00378820339053563;0,18183376274571;1;10
"966";"Animalia";"Arthropoda";"Malacostraca";"Gammaridae";"Dikerogammarus";"Dikerogammarus villosus";0,00372564687604063;0,17883105004995;1;6
"685";"Plantae";"Tracheophyta";"Liliopsida";"Potamogetonaceae";"Potamogeton";"Diverse/Unspecified";0,00368491556015021;0,17687594688721;5;5
"702";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Pinus";"Pinus caribaea";0,00367118441118638;0,176216851736946;4;4
"629";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Rubus glaucus";0,00352169098110756;0,169041167093163;9;20
"844";"Animalia";"Chordata";"Reptilia";"Colubridae";"Orthriophis";"Orthriophis taeniurus";0,00351429201055765;0,168686016506767;4;8
"1002";"Plantae";"Tracheophyta";"Liliopsida/Magnoliopsida";"Poaceae/Aizoaceae/Asparagaceae";"Cortaderia/Carpobrotus/Agave";"Cortaderia selloana/Carpobrotus sp./Agave americana";0,00350920667633069;0,168441920463873;1;1
"33";"Animalia";"Chordata";"Mammalia";"Muridae/Phalangeridae";"Mus/Trichosurus";"Mus musculus/Trichosurus vulpecula";0,00344520693952514;0,165369933097207;1;1
"843";"Animalia";"Chordata";"Mammalia";"Sciuridae";"Sciurus";"Sciurus vulgaris";0,00344339709040379;0,165283060339382;4;7
"997";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae/Apiaceae/Balsaminaceae";"Reynoutria/Heracleum/Impatiens";"Reynoutria japonica/Heracleum mantegazzianum/Impatiens glandulifera";0,00340151924234354;0,16327292363249;1;3
"679";"Animalia";"Chordata";"Reptilia";"Emydidae";"Trachemys";"Trachemys scripta elegans";0,00334492321397836;0,160556314270961;7;10
"103";"Animalia";"Chordata";"Reptilia";"Pythonidae";"Python";"Python bivittatus";0,00328518520511772;0,157688889845651;1;5
"853";"Animalia";"Chordata";"Amphibia";"Rhacophoridae";"Polypedates";"Polypedates leucomystax";0,00312919041468374;0,15020113990482;2;4
"972";"Animalia";"Chordata";"Ascidiacea";"Styelidae";"Botryllus/Botrylloides";"Botryllus schlosseri/Botrylloides violaceus";0,00312778175463658;0,150133524222556;2;2
"270";"Animalia";"Arthropoda";"Branchiopoda";"Cercopagidae";"Cercopagis";"Cercopagis pengoi";0,00305046452623455;0,146422297259258;1;3
"995";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae/Simaroubaceae";"Robinia/Ailanthus";"Robinia pseudoacacia/Ailanthus altissima";0,00304843875730132;0,146325060350463;2;20
"937";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia pycnantha";0,00300663513554796;0,144318486506302;2;18
"419";"Plantae";"Tracheophyta";"Liliopsida";"Commelinaceae";"Tradescantia";"Tradescantia fluminensis";0,00300288898177031;0,144138671124975;6;6
"309";"Animalia";"Chordata";"Actinopterygii";"Channidae";"Channa";"Channa argus";0,00287637659128086;0,138066076381481;1;1
"1130";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Rumex";"Rumex lunaria";0,0028552193991981;0,137050531161509;1;11
"649";"Animalia";"Chordata";"Aves";"Sturnidae/Pycnonotidae";"Acridotheres/Pycnonotus";"Acridotheres tristis/Pycnonotus cafer";0,00278684586638491;0,133768601586476;5;5
"413";"Plantae";"Tracheophyta";"Magnoliopsida";"Diverse/Unspecified";"Diverse/Unspecified";"Acacia dealbata/Ailanthus altissima";0,0027688110347045;0,132902929665816;1;5
"60";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae";"Felis/Canis";"Felis catus/Canis lupus";0,00266467723190709;0,12790450713154;3;3
"201";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Nasonovia";"Nasonovia ribisnigri";0,00262604364158536;0,126050094796097;1;1
"521";"Animalia";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Gambusia holbrooki/Alburnus alburnus/Lepomis gibbosus/Cyprinus carpio/Carassius auratus/Esox lucius/Micropterus salmoides/Trachemys scripta/Graptemys pseudogeographica/Graptemys ouachitensis/Graptemys pseudogeographica/Graptemys sp./Mauremys sinensis/Pelodiscus sinensis/Pseudemys concinna/Pseudemys nelsoni/Pseudemys sp./Trachemys emolli/Trachemys gaigeae/Procyon lotor/Neovison vison/Silurus glanis/Misgurnus anguillicaudatus/Callinectes sapidus/Pacifastacus leniusculus/Corbicula fluminea/Dreissena polymorpha/Scyphophorus acupunctatus/Oxyura jamaicensis/";0,00261904015982029;0,125713927671374;1;1
"994";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae/Apiaceae";"Reynoutria/Heracleum";"Reynoutria japonica/Heracleum mantegazzianum";0,00253304624429838;0,121586219726322;1;3
"416";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Oenothera";"Oenothera biennis";0,0025192966627728;0,120926239813094;18;18
"430";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Cylindropuntia";"Cylindropuntia pallida";0,00251292208670075;0,120620260161636;153;156
"678";"Animalia";"Chordata";"Aves";"Threskiornithidae";"Threskiornis";"Threskiornis aethiopicus";0,0023708253433335;0,113799616480008;14;23
"693";"Animalia";"Chordata";"Mammalia";"Cervidae";"Rangifer";"Rangifer tarandus";0,00228571768499633;0,109714448879824;3;3
"698";"Plantae";"Tracheophyta";"Magnoliopsida";"Bignoniaceae";"Spathodea";"Spathodea campanulata";0,00227431466153652;0,109167103753753;4;14
"558";"Plantae";"Tracheophyta";"Magnoliopsida";"Nymphaeaceae";"Nymphaea";"Nymphaea mexicana";0,00226833017627756;0,108879848461323;4;4
"428";"Plantae";"Tracheophyta";"Liliopsida";"Asparagaceae";"Agave";"Agave americana";0,0022673465959483;0,108832636605518;104;104
"993";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Eucalyptus pulverulenta";0,00225641616680525;0,108307976006652;1;1
"992";"Animalia";"Arthropoda";"Insecta";"Aleyrodidae";"Diverse/Unspecified";"Diverse/Unspecified";0,00222643908961352;0,106869076301449;1;4
"477";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginaceae";"Echium";"Echium vulgare";0,0022105846098595;0,106108061273256;2;4
"1111";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia implexa";0,00218253654565038;0,104761754191218;3;3
"225";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Pheidole";"Pheidole megacephala";0,00217002083030775;0,104160999854772;1;4
"554";"Animalia";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Trachemys scripta/Gambusia holbrooki/Alburnus alburnus/Lepomis gibbosus/Cyprinus carpio/Carassius auratus/Esox lucius/Micropterus salmoides";0,00216468517416171;0,103904888359762;2;2
"182";"Animalia";"Arthropoda";"Insecta";"Gelechiidae/Noctuidae";"Helicoverpa/Tuta";"Helicoverpa armigera/Tuta absoluta";0,00202157816958418;0,0970357521400406;2;2
"543";"Animalia";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Silurus glanis/Corbicula fluminea/Dreissena polymorpha/Neovison vison/Trachemys scripta/Gambusia holbrooki/Alburnus alburnus/Lepomis gibbosus/Cyprinus carpio/Carassius auratus/Esox lucius/Micropterus salmoides";0,00197390731458649;0,0947475511001515;1;1
"845";"Animalia";"Chordata";"Reptilia";"Chelidridae";"Chelydra";"Chelydra serpentina";0,00193665531245469;0,092959454997825;4;8
"1129";"Plantae";"Tracheophyta";"Liliopsida";"Asparagaceae";"Agave";"Agave spp.";0,00189241285760805;0,0908358171651862;1;11
"258";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Diabrotica";"Leptinotarsa undecimpunctata";0,00187366310824415;0,0899358291957191;1;1
"83";"Animalia";"Chordata";"Mammalia";"Canidae/Suidae";"Canis/Sus";"Canis lupus/Sus scrofa";0,00183637221253045;0,0881458662014614;2;3
"426";"Animalia";"Arthropoda";"Arachnida";"Varroidae";"Varroa";"Varroa sp.";0,00174682250337617;0,0838474801620559;1;1
"479";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Oxalis pes-caprae/Felis catus";0,00171943287803328;0,0825327781455973;1;2
"872";"Animalia";"Arthropoda";"Insecta";"Margarodidae";"Matsucoccus";"Corythucha ciliata";0,00170669908025772;0,0819215558523705;1;1
"996";"Plantae";"Tracheophyta";"Liliopsida/Magnoliopsida";"Fabaceae/Simaroubaceae/Poaceae";"Robinia/Ailanthus/Arundo";"Robinia pseudoacacia/Ailanthus altissima/Arundo donax";0,00167468904552824;0,0803850741853553;1;10
"719";"Plantae";"Tracheophyta";"Magnoliopsida";"Rutaceae";"Triphasia";"Triphasia trifolia";0,00166029104954442;0,0796939703781323;1;1
